Acropora digitifera	46.1	40.6	5.5	23.6	30.3
Acropora millepora	76.9	72.0	4.9	9.1	14.0
Acropora tenuis	88.6	87.7	0.9	4.8	6.6
Fungia spp	84.3	83.0	1.3	9.7	6.0
Galaxea fascicularis	83.1	82.6	0.5	9.0	7.9
Goniastrea aspera	85.4	84.4	1.0	7.9	6.7
Montipora capitata	94.0	75.8	18.2	3.5	2.5
Orbicella faveolata	87.2	72.7	14.5	6.6	6.2
Pocillopora acuta	39.7	28.8	10.9	36.2	24.1
Pocillopora damicornis	87.9	87.7	0.2	5.7	6.4
Pocillopora meandrina	94.8	92.0	2.8	2.4	2.8
Pocillopora verrucosa	88.9	86.8	2.1	2.9	8.2
Porites evermanni	93.1	80.5	12.6	2.8	4.1
Porites lobata	95.0	91.3	3.7	1.8	3.2
Porites lutea	91.7	89.6	2.1	4.1	4.2
Porites rus	62.4	60.7	1.7	19.9	17.7
Stylophora pistillata	87.3	86.9	0.4	5.2	7.5
